af  Afrikaans
sq  Albanian
am  Amharic
ar  Arabic
hy  Armenian
as  Assamese
az  Azerbaijani
eu  Basque
be  Belarusian
bn  Bengali
br  Breton
bg  Bulgarian
my  Burmese
ca  Catalan
cs  Czech
da  Danish
nl  Dutch
en  English
eo  Esparanto
et  Estonian
fo  Faroese
fi  Finnish
fr  French
gl  Galician
ka  Georgian
de  German
el  Greek
he  Hebrew
hi  Hindi
hu  Hungarian
is  Icelandic
io  Ido
id  Indonesian
ia  Interlingua
ga  Irish
it  Italian
ja  Japanese
kn  Kannada
kk  Kazakh
km  Kmer
ko  Korean
ku  Kurdish
ky  Kyrgyz
lo  Lao
la  Latin
lv  Latvian
lt  Lithuanian
lb  Luxembourgish
mk  Macedonian
ms  Malay
ml  Malayalam
mt  Maltese
mi  Maori
mn  Mongolian
no  Norwegian
ps  Pashto
fa  Persian
pl  Polish
pt  Portuguese
qu  Quechua
ro  Romanian
rm  Romansch
ru  Russian
sa  Sanskrit
sc  Sardinian
si  Sinhalese
sk  Slovak
sl  Slovene
es  Spanish
sv  Swedish
tl  Tagalog
ty  Tahitian
tg  Tajik
ta  Tamil
tt  Tatar
te  Telugu
th  Thai
bo  Tibetian
tr  Turkish
tk  Turkmen
uk  Ukranian
ur  Urdu
uz  Uzbek
vi  Vietnamese
wa  Walloon
cy  Welsh
fy  Frisian
yi  Yiddish
za  Zhuang
